Order_ID,Customer_ID,Book_ID,Order_Date,Quantity,Total_Amount
1,84,169,26-May-23,8,188.56
2,137,301,23-Jan-23,10,216.6
3,216,261,27-May-24,6,85.5
4,433,343,25-Nov-23,7,301.21
5,14,431,26-Jul-23,7,136.36
6,439,119,11-Oct-24,5,249.4
7,195,467,23-Oct-23,6,82.92
8,32,159,07-May-24,4,144.84
9,109,407,04-Jan-24,9,379.71
10,94,122,09-Jul-24,4,123
11,131,206,16-Oct-23,1,38.01
12,454,3,17-Jun-24,2,31.5
13,420,180,08-Jun-23,5,125.45
14,454,319,24-Aug-23,2,85.22
15,127,479,10-Jan-23,6,229.62
16,412,196,06-Oct-23,8,53.52
17,462,481,20-Mar-23,5,52.75
18,377,101,07-Aug-24,4,193.96
19,496,60,17-Nov-23,9,316.26
20,195,67,14-Jul-23,1,10.23
21,356,287,05-Dec-24,3,120.57
22,177,427,10-Jun-24,3,54
23,119,301,04-Aug-23,3,64.98
24,266,192,10-Jul-23,3,145.11
25,265,250,25-May-23,10,126.5
26,294,407,11-Jun-23,1,42.19
27,310,156,03-Dec-24,1,31.68
28,151,423,27-Nov-24,8,205.04
29,305,446,05-Oct-23,8,275.92
30,438,248,23-Sep-23,6,281.94
31,386,279,12-Mar-24,8,244
32,292,313,06-Dec-24,4,188.64
33,478,253,15-Apr-24,5,58.3
34,463,146,27-Jun-24,3,43.5
35,303,172,08-Jul-23,5,184.1
36,417,260,21-Jan-24,9,446.31
37,110,411,27-Dec-23,4,60.12
38,15,466,26-Jun-23,4,148.68
39,488,422,03-Aug-24,8,367.28
40,120,450,03-Jul-24,2,91.5
41,418,147,05-May-24,8,361.6
42,415,70,19-Sep-23,3,70.35
43,199,305,25-Mar-24,7,221.62
44,234,460,24-Jul-24,5,179.4
45,470,67,16-Nov-24,4,40.92
46,319,442,08-Dec-23,1,48.48
47,6,360,23-Jul-24,3,148.02
48,458,477,25-Feb-24,5,138.55
49,322,336,14-Aug-24,7,168.56
50,474,88,06-Apr-24,1,40.22
51,155,491,01-Sep-24,5,74.35
52,173,161,20-May-24,7,151.2
53,160,242,02-Jan-24,3,101.37
54,446,393,01-Sep-24,3,132
55,18,281,11-Jan-24,7,114.38
56,76,333,06-Nov-24,5,138.8
57,24,34,02-Dec-24,2,32.98
58,329,369,02-Dec-24,7,158.55
59,225,188,11-Feb-23,7,140.98
60,404,49,26-Apr-23,9,445.5
61,405,361,02-Jul-24,5,198.75
62,364,324,06-Apr-24,5,230.4
63,16,469,13-Apr-24,9,209.25
64,348,160,19-Jul-24,10,344.8
65,54,198,06-May-23,9,201.42
66,180,323,08-Sep-23,8,286.64
67,260,129,20-Apr-23,9,366.66
68,246,319,21-Mar-23,10,426.1
69,261,109,23-Mar-24,4,34.16
70,49,447,29-May-23,6,217.5
71,500,438,11-Jun-24,8,267.12
72,290,5,19-Oct-24,1,10.95
73,411,81,07-Oct-23,1,44.19
74,461,132,08-Apr-23,10,204.6
75,291,375,30-Nov-23,5,170.75
76,470,466,02-Sep-24,10,371.7
77,497,242,20-Mar-24,7,236.53
78,44,196,23-Jul-24,5,33.45
79,134,28,06-Oct-23,2,75.02
80,265,17,04-Jun-23,8,42.96
81,383,325,13-Feb-24,5,202
82,413,387,08-Mar-23,5,237.1
83,457,335,16-Jan-24,8,378.32
84,280,49,05-Jul-24,6,297
85,75,31,14-Mar-23,9,191.07
86,361,441,28-Apr-24,3,122.16
87,167,435,11-Jul-24,2,55.52
88,126,262,16-Apr-23,5,105.1
89,305,113,06-Aug-24,2,12.76
90,457,137,23-Dec-23,6,157.98
91,226,142,13-Oct-24,10,489.6
92,329,325,24-Feb-23,5,202
93,366,427,23-Oct-24,3,54
94,136,88,06-Jul-24,6,241.32
95,447,426,26-Oct-23,1,32.82
96,456,336,09-Aug-23,8,192.64
97,408,221,15-Jul-23,10,248.1
98,429,352,15-Dec-23,1,6.01
99,166,250,20-Apr-23,3,37.95
100,207,63,14-Jul-23,1,22.38
101,154,344,09-Jan-23,1,39.63
102,295,300,10-May-23,9,241.83
103,103,21,07-Feb-24,3,141.39
104,182,316,18-Jan-24,9,79.29
105,125,306,20-Dec-22,2,87.84
106,334,449,07-Oct-23,3,120.51
107,10,330,20-Oct-24,6,192.12
108,281,430,25-May-24,6,71.4
109,486,368,19-Nov-24,2,89.2
110,7,16,30-Apr-23,1,10.07
111,174,450,25-Aug-24,7,320.25
112,309,403,28-Dec-22,2,30.02
113,80,255,18-Feb-24,3,73.53
114,362,210,24-Feb-24,3,122.79
115,321,136,23-Sep-24,8,79.12
116,280,447,27-Feb-24,5,181.25
117,385,52,24-Jan-23,7,115.71
118,37,189,14-Jan-23,3,40.95
119,328,148,24-Sep-23,3,36.75
120,101,338,14-Jan-23,1,10.17
121,27,63,28-Mar-24,6,134.28
122,136,56,19-Feb-23,6,47.22
123,495,437,10-Mar-24,5,221.45
124,272,122,17-May-24,10,307.5
125,196,43,05-Jun-24,4,189.56
126,88,492,08-Dec-23,2,88.14
127,267,295,24-Aug-24,7,200.62
128,197,345,17-Sep-24,6,155.34
129,364,388,02-Aug-23,1,26.62
130,420,17,13-May-23,1,5.37
131,16,1,27-May-24,3,64.02
132,469,333,22-Nov-23,7,194.32
133,232,458,13-Mar-23,4,149.12
134,94,222,02-Apr-23,7,207.13
135,174,99,24-Jan-24,10,469.3
136,165,70,31-Dec-23,4,93.8
137,474,471,25-Nov-23,8,363.04
138,59,362,02-Dec-23,3,88.29
139,189,26,31-May-24,9,189.45
140,295,164,13-Dec-22,1,41.83
141,107,352,05-May-23,10,60.1
142,107,434,08-Apr-24,2,91.16
143,443,201,04-Oct-23,7,260.75
144,432,179,10-Nov-24,2,96.42
145,340,477,10-Sep-24,8,221.68
146,394,404,07-Apr-24,4,62.6
147,277,285,08-Oct-24,5,138.25
148,333,429,16-Jun-24,1,42.58
149,39,56,28-Nov-24,4,31.48
150,389,135,01-Jan-24,10,151.3
151,361,288,27-Aug-24,7,195.37
152,377,213,27-Oct-23,5,33.95
153,484,370,19-Feb-24,2,87.82
154,378,391,12-Oct-23,5,167.1
155,191,397,21-Jan-24,6,168.9
156,176,66,27-May-24,5,141.45
157,166,245,24-May-24,10,160.6
158,183,225,04-Jul-23,3,108.12
159,174,51,11-Sep-24,3,138.9
160,255,85,27-Mar-23,3,58.29
161,227,42,13-Jan-24,5,241.75
162,295,298,21-May-23,7,326.62
163,207,384,23-Nov-23,3,101.76
164,467,184,27-Jun-24,9,47.25
165,382,362,23-Sep-24,6,176.58
166,272,486,17-Sep-23,6,114.78
167,168,442,24-Nov-24,3,145.44
168,324,36,11-Jan-23,10,345.1
169,81,415,04-Feb-24,10,295.1
170,121,77,06-May-23,10,442.8
171,364,397,12-Jan-23,10,281.5
172,463,423,20-Sep-24,1,25.63
173,399,61,01-Jul-23,5,205.25
174,34,29,17-Dec-23,4,124.48
175,385,103,12-Oct-23,1,43.25
176,86,479,19-Sep-23,6,229.62
177,378,121,21-Aug-24,3,127.41
178,70,298,03-May-23,10,466.6
179,325,52,01-Feb-23,9,148.77
180,460,227,20-Jan-23,7,267.19
181,8,117,18-Jan-23,3,44.61
182,129,293,01-Nov-23,7,125.51
183,335,371,08-Jun-24,1,17.4
184,474,88,30-Apr-24,2,80.44
185,15,25,09-Mar-23,6,51.3
186,167,120,03-Apr-23,7,336.21
187,119,275,30-Dec-23,1,25.83
188,46,425,13-Mar-23,1,24.23
189,107,240,11-Jul-24,6,299.4
190,240,273,02-Jul-24,4,49.72
191,418,390,25-Mar-24,1,39.96
192,144,380,24-Jun-24,2,26.34
193,474,36,31-Mar-23,7,241.57
194,463,340,04-Nov-24,5,249.9
195,437,241,17-Jul-23,2,28.12
196,214,468,03-Apr-23,7,214.13
197,256,32,25-May-24,10,215.6
198,373,117,13-Jun-23,1,14.87
199,429,18,30-Sep-24,10,394.7
200,313,303,23-Nov-23,1,6.57
201,67,463,11-Oct-23,4,47.96
202,137,69,17-Dec-23,8,70.32
203,116,110,27-Dec-23,4,120.6
204,47,427,26-May-23,3,54
205,279,457,21-Mar-23,2,56.44
206,81,130,19-Jul-23,1,6.64
207,194,461,06-Sep-23,1,9.6
208,13,101,21-May-24,6,290.94
209,346,449,03-Jan-24,10,401.7
210,287,223,14-Oct-23,6,39.12
211,397,209,17-Jan-24,10,486.7
212,244,300,20-Apr-24,2,53.74
213,325,447,17-Nov-23,7,253.75
214,103,114,04-Sep-24,7,50.96
215,461,138,17-Aug-23,8,198.16
216,104,428,28-Feb-24,4,90.92
217,414,142,28-Dec-22,2,97.92
218,364,47,13-Feb-24,8,162.96
219,186,157,11-Feb-24,9,172.53
220,376,275,07-Jul-23,1,25.83
221,353,219,10-Sep-23,5,104.5
222,331,157,19-Sep-23,10,191.7
223,213,31,17-Dec-22,10,212.3
224,384,90,19-Jul-24,4,66.24
225,272,115,08-Jun-23,4,112.48
226,437,35,25-Jan-24,9,286.29
227,461,308,04-May-23,8,166
228,400,104,07-Jun-24,3,31.68
229,82,482,09-Feb-24,7,223.72
230,307,241,10-Sep-23,7,98.42
231,22,384,11-Nov-23,1,33.92
232,220,229,26-Jul-24,5,102.3
233,403,181,28-Apr-24,7,271.11
234,149,11,21-Nov-24,5,179.75
235,419,459,12-Nov-24,3,107.31
236,375,265,04-Nov-24,9,419.4
237,47,199,15-Aug-23,7,299.67
238,134,280,26-Feb-24,6,100.68
239,132,307,19-Sep-23,5,72.15
240,457,492,30-May-23,10,440.7
241,119,69,08-Jul-24,6,52.74
242,416,410,15-Jun-23,9,398.97
243,82,350,02-Aug-24,10,316.7
244,12,380,28-Oct-24,3,39.51
245,386,97,01-Nov-23,9,411.66
246,401,415,14-Nov-24,2,59.02
247,77,142,07-Mar-24,10,489.6
248,312,285,09-Sep-23,9,248.85
249,131,189,15-Jan-23,8,109.2
250,63,65,16-Sep-23,9,204.3
251,109,490,12-Dec-23,2,25.76
252,405,387,15-Nov-23,5,237.1
253,449,273,03-Jan-23,3,37.29
254,99,469,18-Jul-23,2,46.5
255,217,406,19-Apr-23,4,143.16
256,225,174,30-May-24,9,340.47
257,123,403,06-Nov-23,1,15.01
258,179,387,08-Aug-23,3,142.26
259,437,77,08-Jan-23,2,88.56
260,112,170,07-May-24,2,22.56
261,200,288,25-Jul-23,8,223.28
262,224,376,11-Dec-22,6,175.56
263,260,373,20-Aug-24,2,78.18
264,290,13,29-Oct-23,9,126.36
265,258,100,17-Sep-24,9,449.01
266,167,426,02-Jun-23,10,328.2
267,467,390,30-Aug-24,9,359.64
268,117,56,15-Nov-24,9,70.83
269,8,157,15-Mar-24,5,95.85
270,120,82,13-Apr-24,7,319.9
271,462,40,01-Jul-23,1,25.97
272,228,321,02-Nov-24,1,24.32
273,357,119,14-Dec-22,8,399.04
274,254,120,10-Apr-24,2,96.06
275,495,31,05-Jan-23,2,42.46
276,166,46,16-Nov-24,3,99.51
277,276,292,18-Dec-22,1,26.94
278,111,71,18-Nov-24,9,346.5
279,204,339,13-Nov-24,9,391.59
280,181,377,11-May-23,8,318.32
281,23,431,23-Nov-24,8,155.84
282,364,154,22-Nov-24,6,104.64
283,277,471,31-Oct-24,8,363.04
284,325,466,06-Jan-23,4,148.68
285,198,469,30-Jul-24,6,139.5
286,96,264,23-Apr-23,2,41.02
287,74,163,25-Jun-23,3,57.33
288,6,128,13-Nov-23,1,24.04
289,321,491,30-Aug-23,2,29.74
290,31,219,18-Aug-24,2,41.8
291,214,154,15-Apr-24,8,139.52
292,388,432,11-Feb-24,4,35.36
293,96,214,20-Jan-24,9,163.44
294,21,302,01-Oct-23,4,114.68
295,414,269,07-Oct-24,5,165.4
296,181,486,13-Sep-23,1,19.13
297,382,381,27-Jul-24,4,42.4
298,359,73,22-Aug-24,10,212.3
299,189,348,29-Jul-24,8,100.96
300,90,485,09-Dec-23,7,162.12
301,339,346,12-Sep-24,4,39.88
302,348,80,29-Feb-24,6,209.04
303,423,31,12-Aug-23,6,127.38
304,59,229,06-Feb-24,9,184.14
305,107,266,18-Dec-23,4,133.16
306,54,316,28-Nov-24,4,35.24
307,368,133,17-Nov-23,1,20.96
308,499,485,19-Feb-23,10,231.6
309,185,227,29-Dec-22,8,305.36
310,338,334,05-Oct-23,3,107.04
311,198,80,05-Mar-24,7,243.88
312,209,208,23-Apr-23,10,250
313,57,105,11-Oct-23,8,240.16
314,449,127,09-Mar-24,1,11.66
315,281,119,22-Mar-23,8,399.04
316,329,198,30-Jun-24,7,156.66
317,400,88,06-Jan-23,10,402.2
318,353,84,31-Jan-24,8,356.72
319,172,296,27-Jun-24,2,22.98
320,376,363,05-Apr-24,8,59.84
321,114,386,05-Aug-23,8,50.88
322,270,112,08-Nov-23,2,16.04
323,36,412,27-Jun-23,6,58.98
324,306,214,31-Jan-23,7,127.12
325,60,394,10-Jul-23,1,27.15
326,16,149,15-Jun-24,6,102.54
327,247,409,11-Jul-24,2,43.12
328,232,3,19-Jan-24,3,47.25
329,171,171,23-Sep-23,5,160.75
330,265,65,10-Jan-23,10,227
331,429,143,15-Jul-23,1,43.65
332,41,113,25-Jul-23,2,12.76
333,161,407,08-Oct-24,1,42.19
334,193,339,01-Mar-24,6,261.06
335,184,334,05-Jun-23,7,249.76
336,141,371,23-Jun-23,9,156.6
337,230,455,06-Dec-23,5,135.15
338,165,486,13-Jan-23,2,38.26
339,374,491,21-Mar-24,10,148.7
340,460,222,02-Mar-23,8,236.72
341,26,333,06-Sep-24,2,55.52
342,178,462,24-Aug-23,1,49.23
343,75,124,03-Jan-23,7,189.7
344,385,218,25-Nov-23,5,26.8
345,325,253,04-Jul-23,2,23.32
346,122,240,10-Mar-24,8,399.2
347,2,118,23-Feb-23,3,16.56
348,239,158,19-Mar-23,7,172.83
349,159,73,15-Apr-23,2,42.46
350,458,154,09-Feb-24,6,104.64
351,425,219,26-Feb-23,8,167.2
352,178,436,19-Mar-23,7,111.3
353,14,360,03-Aug-23,5,246.7
354,388,225,28-Jul-24,2,72.08
355,437,443,23-Oct-23,6,264.3
356,384,102,01-Jun-24,3,120.66
357,163,150,06-Jul-23,9,287.55
358,474,45,30-Jan-23,8,203.92
359,301,378,23-Aug-23,6,36.06
360,177,442,23-Jan-24,2,96.96
361,415,448,27-Jul-23,6,37.56
362,242,292,29-Jul-24,3,80.82
363,153,91,04-Mar-23,2,55.64
364,357,38,12-May-24,9,148.23
365,301,200,28-Feb-23,7,69.72
366,425,231,08-Mar-24,6,56.22
367,497,309,04-Apr-23,5,58.7
368,17,488,17-May-23,10,491.5
369,339,156,09-Dec-22,1,31.68
370,462,295,04-Feb-24,4,114.64
371,149,120,23-Mar-24,4,192.12
372,290,57,21-Jan-23,3,70.77
373,428,47,25-Oct-24,9,183.33
374,418,64,28-Apr-24,9,216.9
375,115,58,19-Jul-23,3,103.62
376,360,320,02-Mar-23,7,35.49
377,194,208,03-Dec-23,5,125
378,203,105,25-Sep-24,1,30.02
379,313,135,21-Jun-23,7,105.91
380,465,491,18-Sep-24,3,44.61
381,485,377,22-Jul-23,8,318.32
382,492,333,14-Aug-24,1,27.76
383,145,8,04-Apr-23,3,146.97
384,304,369,26-Jun-24,7,158.55
385,379,110,18-Jul-24,9,271.35
386,226,52,05-May-23,5,82.65
387,344,236,20-Jul-24,4,43.12
388,125,232,04-Aug-23,6,57.72
389,485,391,18-Nov-23,2,66.84
390,94,73,01-Oct-23,10,212.3
391,30,330,20-May-23,8,256.16
392,336,212,04-Jul-24,1,18.69
393,279,307,24-Dec-22,8,115.44
394,299,425,14-Apr-24,1,24.23
395,159,443,27-May-24,9,396.45
396,59,424,09-Apr-23,6,243
397,368,73,19-Jan-23,6,127.38
398,273,334,21-Jul-23,9,321.12
399,318,393,27-Dec-22,9,396
400,239,33,05-Apr-24,10,350.6
401,154,475,06-Dec-23,1,47.76
402,199,323,25-Dec-22,8,286.64
403,98,398,17-Nov-24,10,334.1
404,457,191,02-Oct-24,10,421.9
405,405,149,01-May-24,5,85.45
406,438,78,17-Feb-23,10,130.7
407,121,156,14-Apr-24,4,126.72
408,485,299,13-Dec-23,4,112.76
409,184,303,07-Sep-24,6,39.42
410,364,462,01-Dec-24,5,246.15
411,486,208,29-Oct-23,8,200
412,24,103,16-Jun-24,5,216.25
413,158,314,12-Jul-23,3,28.77
414,23,234,10-Nov-23,1,7.15
415,336,10,07-Jul-23,1,24.63
416,149,211,29-Dec-23,1,16.19
417,222,254,29-Mar-24,4,170.28
418,153,372,04-Dec-23,2,35.46
419,330,313,15-May-23,3,141.48
420,102,415,03-Oct-24,1,29.51
421,56,183,01-Apr-23,5,77
422,322,176,25-Dec-23,8,128.88
423,11,349,10-Jan-24,5,221.8
424,291,118,16-Jan-24,7,38.64
425,98,308,14-Feb-23,6,124.5
426,98,33,18-Feb-24,5,175.3
427,287,434,11-Sep-23,7,319.06
428,214,175,16-Feb-23,10,328.5
429,449,146,01-Nov-23,7,101.5
430,206,26,26-Jul-24,2,42.1
431,68,276,22-Sep-24,1,19.85
432,420,168,04-Nov-23,3,42.39
433,37,223,01-Mar-23,6,39.12
434,45,83,20-Oct-23,10,89.4
435,13,230,14-Apr-23,8,48.8
436,224,412,17-Jun-24,1,9.83
437,183,360,31-Oct-23,6,296.04
438,304,434,16-Aug-24,2,91.16
439,346,419,20-May-23,3,27.84
440,195,343,31-Aug-23,9,387.27
441,269,168,18-Mar-24,8,113.04
442,57,129,20-May-23,8,325.92
443,425,108,30-Apr-24,10,253.8
444,155,5,12-Dec-22,7,76.65
445,21,384,16-Apr-24,8,271.36
446,485,380,18-Sep-23,3,39.51
447,379,422,05-Aug-23,1,45.91
448,115,38,21-Nov-24,1,16.47
449,490,222,18-Nov-23,1,29.59
450,451,288,18-May-23,8,223.28
451,87,307,04-Aug-23,10,144.3
452,100,412,13-Jul-24,1,9.83
453,22,418,19-Apr-23,8,255.04
454,386,186,14-Jun-24,8,330.64
455,84,409,31-Oct-23,2,43.12
456,331,125,19-Feb-24,5,162.05
457,387,147,17-Mar-24,10,452
458,160,127,19-Feb-23,6,69.96
459,163,422,17-Aug-24,10,459.1
460,445,237,24-May-23,2,80.86
461,317,196,18-Nov-23,9,60.21
462,22,282,24-Nov-24,3,114.57
463,174,279,06-Jul-24,5,152.5
464,392,463,20-Dec-22,1,11.99
465,337,414,16-Jan-23,7,157.85
466,498,273,07-Dec-24,7,87.01
467,390,273,22-Jul-23,10,124.3
468,162,237,22-Nov-23,6,242.58
469,158,97,01-Jan-24,6,274.44
470,349,232,30-Oct-24,8,76.96
471,79,7,13-Dec-22,5,218.15
472,145,136,07-Aug-23,6,59.34
473,353,75,19-Jun-24,1,47.11
474,194,138,24-Mar-23,9,222.93
475,284,161,02-Mar-23,7,151.2
476,387,379,02-Apr-23,5,28.5
477,162,454,30-May-23,7,66.92
478,423,350,02-Aug-24,4,126.68
479,328,197,26-Dec-23,7,301.21
480,415,146,21-Jun-23,7,101.5
481,405,353,07-Jul-23,10,469.7
482,2,429,31-Aug-24,7,298.06
483,459,202,23-Nov-23,10,122.6
484,500,274,31-Aug-23,6,292.8
485,140,230,04-Feb-23,5,30.5
486,322,110,26-Apr-23,2,60.3
487,102,245,23-Dec-23,7,112.42
488,47,18,23-May-23,4,157.88
489,211,471,22-Feb-23,5,226.9
490,173,93,15-Feb-23,9,156.87
491,425,72,14-Oct-23,10,465.4
492,284,120,28-Apr-24,10,480.3
493,475,19,04-Nov-24,1,11.31
494,117,127,23-Nov-24,2,23.32
495,216,497,31-Mar-23,3,72.3
496,53,233,28-Sep-24,6,62.34
497,328,272,25-Apr-23,10,51.6
498,152,406,10-Mar-24,2,71.58
499,140,48,26-Aug-23,1,24.7
500,297,137,17-Jun-24,5,131.65
